COMMON NAME,OBSERVATION COUNT,STATE_PROVINCE,LATITUDE,LONGITUDE,OBSERVATION DATE
Snowy Owl,1,New Jersey,40.7025698,-74.0493536,1/1/10
Snowy Owl,1,New York,40.8179665,-72.5592041,1/1/10
Snowy Owl,1,New York,40.8417837,-72.4739742,1/1/10
Snowy Owl,1,New York,40.8427805,-72.4742851,1/1/10
Snowy Owl,1,New York,40.8429942,-72.4762005,1/1/10
Snowy Owl,1,New York,40.8429942,-72.4762005,1/1/10
Snowy Owl,1,New York,40.8429942,-72.4762005,1/1/10
Snowy Owl,1,Connecticut,41.1754303,-73.1032485,1/1/10
Snowy Owl,1,Connecticut,41.1754303,-73.1032485,1/1/10
Snowy Owl,1,Connecticut,41.1754303,-73.1032485,1/1/10
Snowy Owl,1,Connecticut,41.1754303,-73.1032485,1/1/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/1/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/1/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/1/10
Snowy Owl,X,Massachusetts,42.7639008,-70.8022995,1/1/10
Snowy Owl,1,Massachusetts,42.7883464,-70.8082581,1/1/10
Snowy Owl,1,Massachusetts,42.7883464,-70.8082581,1/1/10
Snowy Owl,1,Massachusetts,42.7985496,-70.8090735,1/1/10
Snowy Owl,3,Massachusetts,42.7985496,-70.8090735,1/1/10
Snowy Owl,1,Wisconsin,43.0032,-87.8895,1/1/10
Snowy Owl,1,Wisconsin,43.01332,-87.89478,1/1/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/1/10
Snowy Owl,1,Wisconsin,43.450925,-87.9208374,1/1/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/1/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/1/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/1/10
Snowy Owl,1,Wisconsin,43.5153413,-87.8805393,1/1/10
Snowy Owl,1,Wisconsin,43.5339638,-87.9021988,1/1/10
Snowy Owl,1,Michigan,46.2303329,-84.5510334,1/1/10
Snowy Owl,1,Michigan,46.2303329,-84.5510334,1/1/10
Snowy Owl,3,Michigan,46.272936,-84.5878601,1/1/10
Snowy Owl,1,Michigan,46.4444128,-84.3125075,1/1/10
Snowy Owl,1,Connecticut,41.1754303,-73.1032485,1/2/10
Snowy Owl,1,New Hampshire,42.9805395,-70.7080078,1/2/10
Snowy Owl,1,Wisconsin,43.01332,-87.89478,1/2/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/2/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/2/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/2/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/2/10
Snowy Owl,1,Wisconsin,43.5469306,-87.8806686,1/2/10
Snowy Owl,1,Michigan,46.1986067,-84.5715523,1/2/10
Snowy Owl,3,Michigan,46.2029434,-84.5708656,1/2/10
Snowy Owl,2,Michigan,46.3751224,-84.3540573,1/2/10
Snowy Owl,1,Michigan,46.3900432,-84.3186951,1/2/10
Snowy Owl,1,Michigan,46.398094,-84.3695068,1/2/10
Snowy Owl,1,Wisconsin,46.71934,-92.05772,1/2/10
Snowy Owl,1,Minnesota,46.7311691,-92.052362,1/2/10
Snowy Owl,1,Minnesota,46.7311691,-92.052362,1/2/10
Snowy Owl,1,Minnesota,46.78324,-92.10659,1/2/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/3/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/3/10
Snowy Owl,2,Wisconsin,43.5153413,-87.8805393,1/3/10
Snowy Owl,1,Connecticut,41.1666667,-73.15,1/4/10
Snowy Owl,1,Connecticut,41.1666667,-73.15,1/4/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/5/10
Snowy Owl,1,Colorado,38.93309,-104.60853,1/6/10
Snowy Owl,1,New York,40.5885208,-73.546552,1/6/10
Snowy Owl,1,Wisconsin,43.5737998,-87.8801966,1/6/10
Snowy Owl,1,Wisconsin,45.2254568,-89.0891499,1/6/10
Snowy Owl,1,Washington,47.8447314,-119.5770836,1/7/10
Snowy Owl,1,Massachusetts,42.733799,-70.7903976,1/8/10
Snowy Owl,1,Massachusetts,42.7984237,-70.8089447,1/8/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/8/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/8/10
Snowy Owl,1,Michigan,44.6801275,-85.6617737,1/8/10
Snowy Owl,1,Connecticut,41.2619859,-72.5548234,1/9/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/9/10
Snowy Owl,X,Massachusetts,42.7639008,-70.8022995,1/9/10
Snowy Owl,X,Massachusetts,42.8125916,-70.8772964,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Wisconsin,43.02692,-87.89763,1/9/10
Snowy Owl,1,Michigan,43.8902228,-83.1819534,1/9/10
Snowy Owl,1,Wisconsin,44.2324086,-87.7745819,1/9/10
Snowy Owl,1,Wisconsin,46.6298294,-90.780575,1/9/10
Snowy Owl,1,Colorado,38.9514815,-104.5605072,1/10/10
Snowy Owl,1,Colorado,38.9514815,-104.5605072,1/10/10
Snowy Owl,1,Colorado,38.9895027,-104.5259428,1/10/10
Snowy Owl,1,Colorado,38.9943426,-104.5182885,1/10/10
Snowy Owl,1,Massachusetts,42.7883464,-70.8082581,1/10/10
Snowy Owl,1,Massachusetts,42.7883464,-70.8082581,1/10/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/10/10
Snowy Owl,X,Michigan,46.2299655,-84.6033096,1/10/10
Snowy Owl,1,North Dakota,47.9618564,-97.1423074,1/10/10
Snowy Owl,1,Colorado,38.9714879,-104.553194,1/11/10
Snowy Owl,1,Colorado,38.9859668,-104.5256424,1/11/10
Snowy Owl,1,Colorado,38.9877014,-104.5302773,1/11/10
Snowy Owl,1,Colorado,38.9881684,-104.5199347,1/11/10
Snowy Owl,1,Colorado,38.9893026,-104.521265,1/11/10
Snowy Owl,1,Colorado,38.9912205,-104.5240653,1/11/10
Snowy Owl,1,Colorado,38.9921044,-104.5113945,1/11/10
Snowy Owl,1,Colorado,38.992438,-104.5193338,1/11/10
Snowy Owl,1,Colorado,39.0261186,-104.4792938,1/11/10
Snowy Owl,1,Colorado,39.0261186,-104.4792938,1/11/10
Snowy Owl,1,Colorado,39.02889,-104.48352,1/11/10
Snowy Owl,1,Colorado,39.02889,-104.48352,1/11/10
Snowy Owl,1,Wisconsin,43.489109,-87.8806257,1/11/10
Snowy Owl,1,North Dakota,48.0104822,-97.1937275,1/11/10
Snowy Owl,1,Alaska,55.4061409,-131.7214823,1/11/10
Snowy Owl,1,Colorado,38.93309,-104.60853,1/12/10
Snowy Owl,1,Colorado,38.9359634,-104.6106577,1/12/10
Snowy Owl,1,Colorado,38.988502,-104.5218658,1/12/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/12/10
Snowy Owl,1,Massachusetts,42.8125916,-70.8772964,1/12/10
Snowy Owl,1,Colorado,38.9859668,-104.5256424,1/13/10
Snowy Owl,1,Colorado,38.9895027,-104.5156002,1/13/10
Snowy Owl,1,Colorado,38.9895027,-104.5156002,1/13/10
Snowy Owl,1,Colorado,39.02889,-104.48352,1/13/10
Snowy Owl,1,Michigan,43.5654978,-83.6073732,1/13/10
Snowy Owl,1,Wisconsin,43.5737998,-87.8801966,1/13/10
Snowy Owl,1,Washington,48.9843291,-122.7808857,1/13/10
Snowy Owl,1,Colorado,38.9875324,-104.5215225,1/14/10
Snowy Owl,1,Colorado,38.9898363,-104.5204926,1/14/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/14/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/14/10
Snowy Owl,2,Massachusetts,42.7985496,-70.8090735,1/14/10
Snowy Owl,1,Massachusetts,42.7985496,-70.8090735,1/14/10
Snowy Owl,1,New York,43.3468403,-78.547461,1/14/10
Snowy Owl,1,Michigan,44.0782443,-86.2791324,1/14/10
Snowy Owl,1,Colorado,38.9933052,-104.5159435,1/15/10
Snowy Owl,1,New York,43.347995,-78.6294508,1/15/10
Snowy Owl,1,Michigan,43.5548931,-83.6223078,1/15/10
Snowy Owl,1,Vermont,44.4130607,-72.1015549,1/15/10
Snowy Owl,1,Wisconsin,44.5222131,-87.7272034,1/15/10
Snowy Owl,1,Oregon,45.4059227,-123.9481831,1/15/10
Snowy Owl,3,Michigan,46.3931216,-84.3585205,1/15/10
Snowy Owl,3,Michigan,46.3931216,-84.3585205,1/15/10
Snowy Owl,4,Michigan,46.49532,-84.34534,1/15/10
Snowy Owl,1,Colorado,38.93309,-104.60853,1/16/10
Snowy Owl,1,Colorado,38.93309,-104.60853,1/16/10
Snowy Owl,1,Colorado,38.9901698,-104.5160294,1/16/10
Snowy Owl,1,Colorado,38.990363,-104.518308,1/16/10
Snowy Owl,1,Colorado,38.9923421,-104.5162922,1/16/10
Snowy Owl,1,Colorado,38.9925381,-104.5174456,1/16/10
Snowy Owl,1,Colorado,38.9926381,-104.517746,1/16/10
Snowy Owl,1,Colorado,38.9926381,-104.517746,1/16/10
Snowy Owl,1,Colorado,38.9953793,-104.5158255,1/16/10
Snowy Owl,1,Massachusetts,42.7406773,-70.7971001,1/16/10
Snowy Owl,1,Massachusetts,42.7406773,-70.7971001,1/16/10
Snowy Owl,1,Massachusetts,42.7411003,-70.7965012,1/16/10
Snowy Owl,1,Massachusetts,42.7411003,-70.7965012,1/16/10
Snowy Owl,1,Massachusetts,42.7411003,-70.7965012,1/16/10
Snowy Owl,1,Massachusetts,42.7411003,-70.7965012,1/16/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/16/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/16/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/16/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/16/10
Snowy Owl,X,New York,43.34756,-78.55585,1/16/10
Snowy Owl,1,New York,43.347995,-78.6294508,1/16/10
Snowy Owl,1,Oregon,45.4323104,-123.9575386,1/16/10
Snowy Owl,4,Michigan,46.186902,-84.3215275,1/16/10
Snowy Owl,1,Michigan,46.2719867,-84.5013428,1/16/10
Snowy Owl,4,Michigan,46.272936,-84.5878601,1/16/10
Snowy Owl,1,Michigan,46.3744118,-84.3725967,1/16/10
Snowy Owl,3,Michigan,46.3751224,-84.3540573,1/16/10
Snowy Owl,1,Michigan,46.3900432,-84.3186951,1/16/10
Snowy Owl,1,North Dakota,48.0055438,-97.1534729,1/16/10
Snowy Owl,1,Colorado,38.9889267,-104.5165014,1/17/10
Snowy Owl,1,Colorado,38.99047,-104.5171666,1/17/10
Snowy Owl,1,Colorado,38.9916375,-104.516201,1/17/10
Snowy Owl,1,New York,40.5497575,-73.9354124,1/17/10
Snowy Owl,1,New York,40.5497575,-73.9354124,1/17/10
Snowy Owl,1,Massachusetts,42.7523065,-70.8017349,1/17/10
Snowy Owl,2,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,X,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,X,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,X,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,1,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,3,Massachusetts,42.7639008,-70.8022995,1/17/10
Snowy Owl,1,Massachusetts,42.7711983,-70.8048019,1/17/10
Snowy Owl,1,Massachusetts,42.7711983,-70.8048019,1/17/10
Snowy Owl,2,Massachusetts,42.7896691,-70.8082581,1/17/10
Snowy Owl,2,Massachusetts,42.8125916,-70.8772964,1/17/10
Snowy Owl,X,New York,43.34756,-78.55585,1/17/10
Snowy Owl,1,New York,43.347995,-78.6294508,1/17/10
Snowy Owl,1,Michigan,45.37331,-84.95535,1/17/10
Snowy Owl,5,Michigan,46.2303329,-84.5510334,1/17/10
Snowy Owl,X,Michigan,46.3751224,-84.3540573,1/17/10
Snowy Owl,1,Wisconsin,46.59244,-90.88379,1/17/10
Snowy Owl,1,Colorado,38.9893026,-104.521265,1/18/10
Snowy Owl,1,Colorado,38.995048,-104.5168877,1/18/10
Snowy Owl,1,Colorado,39.0074814,-104.5023043,1/18/10
Snowy Owl,1,New York,40.5497575,-73.9354124,1/18/10
Snowy Owl,X,New York,40.5497575,-73.9354124,1/18/10
Snowy Owl,3,Michigan,43.5654667,-83.6230803,1/18/10
Snowy Owl,2,Wisconsin,44.5222131,-87.7272034,1/18/10
Snowy Owl,1,Michigan,44.678663,-85.6585195,1/18/10
Snowy Owl,2,North Dakota,48.0055438,-97.1534729,1/18/10
Snowy Owl,1,Colorado,38.9909203,-104.5200634,1/19/10
Snowy Owl,1,Colorado,38.9939556,-104.5210505,1/19/10
Snowy Owl,1,New York,40.542122,-73.9404626,1/19/10
Snowy Owl,1,Michigan,45.629495,-84.4856787,1/19/10
Snowy Owl,1,Wisconsin,46.5970071,-90.8831081,1/19/10
Snowy Owl,1,Colorado,38.9904033,-104.5191193,1/20/10
Snowy Owl,1,Colorado,38.9908036,-104.518218,1/20/10
Snowy Owl,1,Colorado,39.011848,-104.4961166,1/20/10
Snowy Owl,1,Colorado,39.02889,-104.48352,1/20/10
Snowy Owl,1,New York,43.3456543,-78.4739685,1/20/10
Snowy Owl,1,New York,43.347995,-78.6294508,1/20/10
Snowy Owl,1,Michigan,44.0857047,-86.2822652,1/20/10
