CODE,TOTALS
AL,88
AK,0
AZ,256
AR,498
CA,80
CO,1
CT,14
DE,1
FL,9065
GA,2325
HI,0
ID,0
IL,2
IN,0
IA,0
KS,181
KY,0
LA,5089
ME,9
MD,52
MA,45
MI,19
MN,0
MS,91
MO,33
MT,0
NE,0
NV,3
NH,2
NJ,98
NM,212
NY,8
NC,517
ND,0
OH,0
OK,3812
OR,10
PA,6
RI,0
SC,3141
SD,0
TN,29
TX,31838
UT,0
VT,0
VA,22
WA,0
WV,0
WI,1
WY,0
