OBSERVATION COUNT,STATE_PROVINCE,CODE,LATITUDE,LONGITUDE,OBSERVATION DATE,MONTH
X,Florida,FL,29.7155,-84.7535,4/16/16,4
X,Texas,TX,29.5611021,-94.390117,4/16/16,4
X,Alabama,AL,30.2559697,-88.1074395,4/16/16,4
X,Texas,TX,30.2584564,-97.8353226,4/16/16,4
X,Texas,TX,26.1679938,-98.1341041,4/16/16,4
X,Texas,TX,28.2923646,-99.3832898,4/17/16,4
X,Texas,TX,28.2923646,-99.3832898,4/17/16,4
X,South Carolina,SC,32.5481155,-80.2504921,4/17/16,4
X,Texas,TX,28.2923646,-99.3832898,4/17/16,4
X,Texas,TX,29.5611021,-94.390117,4/17/16,4
X,Texas,TX,29.2412685,-94.8791466,4/18/16,4
X,Texas,TX,26.1400912,-97.1748233,4/18/16,4
X,Louisiana,LA,29.7575038,-93.6050043,4/18/16,4
X,Texas,TX,30.4889916,-99.7719955,4/18/16,4
X,Texas,TX,26.1400912,-97.1748233,4/18/16,4
X,Texas,TX,26.1260304,-97.9559173,4/18/16,4
X,Texas,TX,26.1260304,-97.9559173,4/18/16,4
X,Texas,TX,29.5758645,-94.3901432,4/19/16,4
X,Texas,TX,29.2424269,-98.2579157,4/19/16,4
X,Texas,TX,26.1400912,-97.1748233,4/19/16,4
X,Louisiana,LA,29.8662702,-93.4558386,4/19/16,4
X,Louisiana,LA,29.7575038,-93.6050043,4/19/16,4
X,Texas,TX,26.1400912,-97.1748233,4/19/16,4
X,Florida,FL,26.999796,-80.573112,4/19/16,4
X,Texas,TX,26.1260304,-97.9559173,4/20/16,4
X,Texas,TX,26.1260304,-97.9559173,4/20/16,4
X,Texas,TX,28.0502717,-97.0428348,4/20/16,4
X,South Carolina,SC,33.5083,-79.0659,4/21/16,4
X,Texas,TX,29.3289668,-94.7689354,4/22/16,4
X,Texas,TX,30.5071108,-98.0239463,4/22/16,4
X,Louisiana,LA,30.20373,-91.90114,4/22/16,4
X,Texas,TX,27.8339005,-97.0610733,4/23/16,4
X,Texas,TX,26.1400912,-97.1748233,4/23/16,4
X,Texas,TX,29.6704541,-94.3734169,4/23/16,4
X,Louisiana,LA,29.7576119,-93.6022818,4/23/16,4
X,Louisiana,LA,29.7842689,-93.2224274,4/23/16,4
X,Texas,TX,28.1347449,-96.912117,4/23/16,4
X,Florida,FL,30.07596,-84.18149,4/23/16,4
X,Texas,TX,28.1347449,-96.912117,4/23/16,4
X,Texas,TX,26.1400912,-97.1748233,4/23/16,4
X,Texas,TX,27.8669646,-97.6418281,4/23/16,4
X,Texas,TX,27.8669646,-97.6418281,4/23/16,4
X,Texas,TX,28.2923646,-99.3832898,4/24/16,4
X,Texas,TX,27.8339005,-97.0610733,4/24/16,4
X,Texas,TX,30.4489356,-99.8142467,4/24/16,4
X,Texas,TX,27.8275297,-97.0789558,4/25/16,4
X,Texas,TX,26.0987595,-97.1674004,4/25/16,4
X,Texas,TX,26.1400912,-97.1748233,4/25/16,4
X,Texas,TX,27.8275297,-97.0789558,4/25/16,4
X,Texas,TX,29.884095,-100.9941173,4/25/16,4
X,Texas,TX,26.3366531,-98.4722185,4/25/16,4
X,Georgia,GA,31.1081393,-81.4071518,4/26/16,4
X,Texas,TX,27.7927022,-97.4054208,4/26/16,4
X,Texas,TX,25.8944863,-97.486968,4/26/16,4
X,Texas,TX,30.607703,-96.3340473,4/27/16,4
X,Texas,TX,30.3385837,-97.8927755,4/27/16,4
X,Oklahoma,OK,36.0326396,-97.226032,4/27/16,4
X,Louisiana,LA,30.0045693,-90.0935962,4/28/16,4
X,South Carolina,SC,32.2430601,-80.6868768,4/28/16,4
X,Texas,TX,30.5962706,-103.9347249,4/29/16,4
X,Louisiana,LA,30.3693207,-91.6342163,4/29/16,4
X,Texas,TX,28.13255,-96.985052,4/30/16,4
X,Texas,TX,29.9509776,-104.013319,4/30/16,4
X,Georgia,GA,31.0464993,-81.4113007,4/30/16,4
X,South Carolina,SC,33.5264602,-80.2857631,4/30/16,4
X,Texas,TX,29.5611021,-94.390117,4/30/16,4
X,Texas,TX,29.5611021,-94.390117,4/30/16,4
X,Texas,TX,34.9736944,-101.6764361,4/30/16,4
X,Texas,TX,28.13255,-96.985052,4/30/16,4
X,Texas,TX,28.8011249,-97.8746814,4/30/16,4
X,Texas,TX,29.5611021,-94.390117,4/30/16,4
X,Texas,TX,28.9336226,-95.3087246,4/30/16,4
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,29.857,-95.164,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,30.4489356,-99.8142467,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,29.857,-95.164,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,28.13255,-96.985052,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,29.6520117,-99.5640807,5/1/16,5
